,Thread Title,Username,post date,linked post,thread post,thread_post_processed
0,SMU's rebranded IT school will have greater focus on computing and coding,tripleg,"Jan 15, 2021", ,"The renamed School of Computing and Information Systems (SCIS) at Singapore Management University (SMU) will now have a greater focus on computer science, intensive programming and technology development.. Formerly known as the School Of Information Systems, SCIS will also almost double its annual enrolment of undergraduates from 276 to 520 this year.. This comes as SCIS launches more programmes that tap on team based learning, which the school believes is essential for jobs in today's information technology (IT) industry.. SMU’s education is known for its interactive, collaborative and project based approach to learning.. The new name was announced on Friday (Jan 15) at SCIS and reflects the expanded aspirations and role of the school beyond information systems to include computing, said SMU.. During the unveiling ceremony, SMU's president, Professor Lily Kong, said: ""The school has been refreshing and augmenting our undergraduate and postgraduate education programmes to go beyond information systems, particularly in the science of computing, hard core programming and technology development."". Professor Pang Hwee Hwa, dean of SCIS, said the rebranded school will focus on digital transformation, which focuses on preparing students to be valuable to businesses and organisations looking to use technology to stay competitive.. Digital transformation is one of three areas of focus identified by SMU to prepare its students to be multi disciplinary in the workforce. The other two areas of focus are on sustainable living and growth in Asia.. The school will continue to launch programmes to give its students more skills depth in computing and width in business and social science disciplines.. In August this year, the school will launch a second major in digital business which covers computing skills and the application of technologies to various business functions, and a digital transformation track for postgraduates interested in pursuing the Master of IT in Business programme.. Ms Pearlyn Thiam Zi Hui, a student in her second year at SCIS, said: ""I am pretty excited because it is a whole new direction for the school. The addition of computing will give us leverage in Singapore, especially since society is focusing a lot more on technology."". The 21 year old added that the new emphasis on computing will likely attract more prospective students to enrol in the future, given the demand for those who can code.. https://www.straitstimes.com/singap...ll have greater focus on computing and coding","the renamed school of computing and information systems (scis) at singapore management university (smu) will now have a greater focus on computer science intensive programming and technology development formerly known as the school of information systems scis will also almost double its annual enrolment of undergraduates from 276 to 520 this year this comes as scis launches more programmes that tap on team based learning which the school believes is essential for jobs in today's information technology (it) industry smu’s education is known for its interactive collaborative and project based approach to learning the new name was announced on friday (jan 15) at scis and reflects the expanded aspirations and role of the school beyond information systems to include computing said smu during the unveiling ceremony smu's president professor lily kong said: ""the school has been refreshing and augmenting our undergraduate and postgraduate education programmes to go beyond information systems particularly in the science of computing hard core programming and technology development"" professor pang hwee hwa dean of scis said the rebranded school will focus on digital transformation which focuses on preparing students to be valuable to businesses and organisations looking to use technology to stay competitive digital transformation is one of three areas of focus identified by smu to prepare its students to be multi disciplinary in the workforce the other two areas of focus are on sustainable living and growth in asia the school will continue to launch programmes to give its students more skills depth in computing and width in business and social science disciplines in august this year the school will launch a second major in digital business which covers computing skills and the application of technologies to various business functions and a digital transformation track for postgraduates interested in pursuing the master of it in business programme ms pearlyn thiam zi hui a student in her second year at scis said: ""i am pretty excited because it is a whole new direction for the school the addition of computing will give us leverage in singapore especially since society is focusing a lot more on technology"" the 21 year old added that the new emphasis on computing will likely attract more prospective students to enrol in the future given the demand for those who can code https://wwwstraitstimescom/singapll have greater focus on computing and coding"
1,SMU's rebranded IT school will have greater focus on computing and coding,sanzhu,"Jan 15, 2021", ,Aoon will fizzle out kije biotech,aoon will fizzle out kije biotech
2,SMU's rebranded IT school will have greater focus on computing and coding,Why so serious,"Jan 15, 2021", ,Truckload of sica waiting to destroy these greenhorns,truckload of sica waiting to destroy these greenhorns
3,SMU's rebranded IT school will have greater focus on computing and coding,jgyy1990,"Jan 15, 2021", ,Didn't expect smu to be focused on tech.,didn't expect smu to be focused on tech
4,SMU's rebranded IT school will have greater focus on computing and coding,PeanutButtor,"Jan 15, 2021","jgyy1990 said:
Didn't expect smu to be focused on tech.",Cheap... imagine ceca lecturer doing teaching...,cheap imagine ceca lecturer doing teaching
5,SMU's rebranded IT school will have greater focus on computing and coding,eno_lc,"Jan 15, 2021", ,Wats the point when the IT sector here is flooded by sicka,wats the point when the it sector here is flooded by sicka
6,SMU's rebranded IT school will have greater focus on computing and coding,20kjinsatki,"Jan 15, 2021", ,Isn't ntu tech better than smu?,isn't ntu tech better than smu
7,SMU's rebranded IT school will have greater focus on computing and coding,likevegetable,"Jan 15, 2021", ,"Today's flavour ish IT?
Siang happen to all the previous initiatives rike Biotech or EduHub?","today's flavour ish it
siang happen to all the previous initiatives rike biotech or eduhub"
8,SMU's rebranded IT school will have greater focus on computing and coding,Weaboo,"Jan 15, 2021", ,leetard skool. at first brand as biz + IT now gg back to IT focused,leetard skool at first brand as biz + it now gg back to it focused
9,SMU's rebranded IT school will have greater focus on computing and coding,ballastic90,"Jan 15, 2021", ,Jin song liao,jin song liao
