Source,Target,Type,Weight
26,1,directed,1
27,1,directed,1
28,1,directed,1
29,1,directed,1
30,1,directed,1
31,1,directed,1
32,1,directed,1
33,1,directed,1
34,1,directed,1
35,1,directed,1
36,1,directed,1
37,1,directed,1
38,1,directed,1
39,1,directed,1
40,1,directed,1
41,1,directed,1
42,1,directed,1
43,1,directed,1
44,1,directed,1
45,1,directed,1
46,1,directed,1
47,1,directed,1
48,1,directed,1
49,1,directed,1
50,1,directed,1
51,1,directed,1
52,1,directed,1
53,1,directed,1
54,1,directed,1
55,1,directed,1
56,1,directed,1
57,1,directed,1
58,1,directed,1
59,1,directed,1
60,1,directed,1
61,1,directed,1
62,1,directed,1
63,1,directed,1
64,1,directed,1
65,1,directed,1
66,1,directed,1
67,1,directed,1
68,1,directed,1
69,1,directed,1
70,1,directed,1
71,1,directed,1
72,1,directed,1
73,1,directed,1
74,1,directed,1
75,1,directed,1
76,1,directed,1
77,1,directed,1
78,1,directed,1
79,1,directed,1
80,1,directed,1
81,1,directed,1
82,1,directed,1
83,1,directed,1
84,1,directed,1
85,1,directed,1
86,1,directed,1
87,1,directed,1
88,1,directed,1
89,1,directed,1
90,1,directed,1
91,1,directed,1
92,1,directed,1
93,1,directed,1
94,1,directed,1
95,1,directed,1
96,1,directed,1
97,1,directed,1
98,1,directed,1
99,1,directed,1
100,1,directed,1
101,1,directed,1
102,1,directed,1
103,1,directed,1
104,1,directed,1
105,1,directed,1
106,1,directed,1
107,1,directed,1
108,1,directed,1
109,1,directed,1
110,1,directed,1
111,1,directed,1
112,1,directed,1
113,1,directed,1
114,1,directed,1
115,1,directed,1
116,1,directed,1
117,1,directed,1
118,1,directed,1
119,1,directed,1
120,1,directed,1
121,1,directed,1
122,1,directed,1
123,1,directed,1
124,1,directed,1
125,1,directed,1
126,1,directed,1
127,1,directed,1
128,1,directed,1
129,1,directed,1
130,1,directed,1
131,1,directed,1
132,1,directed,1
133,1,directed,1
134,1,directed,1
135,1,directed,1
136,1,directed,1
137,1,directed,1
138,1,directed,1
139,1,directed,1
140,1,directed,1
141,1,directed,1
142,1,directed,1
143,1,directed,1
144,1,directed,1
145,1,directed,1
146,1,directed,1
147,1,directed,1
148,1,directed,1
149,1,directed,1
150,1,directed,1
151,1,directed,1
152,1,directed,1
153,1,directed,1
154,1,directed,1
155,1,directed,1
156,1,directed,1
157,1,directed,1
158,1,directed,1
159,1,directed,1
160,1,directed,1
161,1,directed,1
162,1,directed,1
163,1,directed,1
164,1,directed,1
165,1,directed,1
166,1,directed,1
167,1,directed,1
168,1,directed,1
169,1,directed,1
170,1,directed,1
171,1,directed,1
172,1,directed,1
173,1,directed,1
174,1,directed,1
175,1,directed,1
176,1,directed,1
177,1,directed,1
178,1,directed,1
179,1,directed,1
180,1,directed,1
181,1,directed,1
182,1,directed,1
183,1,directed,1
184,1,directed,1
185,1,directed,1
186,1,directed,1
187,1,directed,1
188,1,directed,1
189,1,directed,1
190,1,directed,1
191,1,directed,1
192,1,directed,1
193,1,directed,1
194,1,directed,1
195,1,directed,1
196,1,directed,1
197,1,directed,1
198,1,directed,1
199,1,directed,1
200,1,directed,1
201,1,directed,1
202,1,directed,1
203,1,directed,1
204,1,directed,1
205,1,directed,1
206,1,directed,1
207,1,directed,1
208,1,directed,1
209,1,directed,1
210,1,directed,1
211,1,directed,1
212,1,directed,1
213,1,directed,1
214,1,directed,1
215,1,directed,1
216,1,directed,1
217,1,directed,1
218,1,directed,1
219,1,directed,1
220,1,directed,1
221,1,directed,1
222,1,directed,1
223,1,directed,1
224,1,directed,1
225,1,directed,1
226,1,directed,1
227,1,directed,1
228,1,directed,1
229,1,directed,1
230,1,directed,1
231,1,directed,1
232,1,directed,1
233,1,directed,1
234,1,directed,1
235,1,directed,1
236,1,directed,1
237,1,directed,1
238,1,directed,1
239,1,directed,1
240,1,directed,1
241,1,directed,1
242,1,directed,1
243,1,directed,1
244,1,directed,1
245,1,directed,1
246,1,directed,1
247,1,directed,1
248,1,directed,1
249,1,directed,1
250,1,directed,1
251,1,directed,1
252,1,directed,1
253,1,directed,1
254,1,directed,1
255,1,directed,1
256,1,directed,1
257,1,directed,1
258,1,directed,1
259,1,directed,1
260,1,directed,1
261,1,directed,1
262,1,directed,1
263,1,directed,1
264,1,directed,1
265,1,directed,1
266,1,directed,1
267,1,directed,1
268,1,directed,1
269,1,directed,1
270,1,directed,1
271,1,directed,1
272,1,directed,1
273,1,directed,1
274,1,directed,1
275,1,directed,1
276,1,directed,1
277,1,directed,1
278,1,directed,1
279,1,directed,1
280,1,directed,1
281,1,directed,1
282,1,directed,1
283,1,directed,1
284,1,directed,1
285,1,directed,1
286,1,directed,1
287,1,directed,1
288,1,directed,1
289,1,directed,1
290,1,directed,1
291,1,directed,1
292,1,directed,1
293,1,directed,1
294,1,directed,1
295,1,directed,1
296,1,directed,1
297,1,directed,1
298,1,directed,1
299,1,directed,1
300,1,directed,1
301,1,directed,1
302,1,directed,1
303,1,directed,1
304,1,directed,1
305,1,directed,1
306,1,directed,1
307,1,directed,1
308,1,directed,1
309,1,directed,1
310,1,directed,1
311,1,directed,1
312,1,directed,1
313,1,directed,1
314,1,directed,1
315,1,directed,1
316,1,directed,1
317,1,directed,1
318,1,directed,1
319,1,directed,1
320,1,directed,1
321,1,directed,1
322,1,directed,1
323,1,directed,1
324,1,directed,1
325,1,directed,1
