,keyword,link,job_id,job_title,job_expired,job_confidential,job_salary_min,job_salary_max,job_salary_currency,company,job_post_date,job_internship,company_website,company_avgProcessTime,company_registrationNo,company_workingHours,company_facebook,company_size,company_dressCode,company_nearbyLocations,company_overview,job_description,job_summary,job_requirement_career_level,job_requirement_fieldOfStudy,job_requirement_yearsOfExperience,job_requirement_qualification,job_requirement_skill,job_employment_type,job_languages,job_benefits,job_apply_url,job_location_zipcode,job_location,job_country
0,computer,/en/job/computer-technician-on-site-9379493,9379493,Computer Technician(On-Site),False,False,,,SGD,R-Logic International Pte Ltd,11 hours ago,False,,,199900984M,,,51 - 200 Employees,,,"<div style=""text-align:justify"">R-Logic provides reliable and timely post-sales repair service, warranty management and fulfillment of IT related products to the Telecommunication and IT industry. R-Logic only provides services which is over and above our customer’s expectation, through the deployment of quality processes for warranty management and component repair. Incorporated in 1999, R-Logic has been providing innovative business solutions and services to the IT and Telecommunication Industry.</div>",<p><strong>RESPONSIBILITIES:  </strong></p><p>1.    Perform onsite diagnostic/repair at the customer’s place</p><p>2.    Attend the onsite appointments punctually and update the system accordingly after each service</p><p>3.    Work with scheduler/planner to achieve KPI</p><p>4.    Precise update on assigned jobs</p><p>5.    Team player with a positive attitude</p><p>6.    Complete e-training courses provided.</p><p><strong>REQUIREMENTS:</strong></p><p>1.    Service experience in NB/AIO/DT/LCD</p><p>2.    At least 2 years of on-site experience</p><p>3.    Tech-savvy and familiar with Windows 8.1/10</p><p>4.    Familiar with Chrome OS is an advantage</p><p>5.    Good time management</p><p>6.    Comfortable to deal with customer</p><p>7.    Class 3 driving license</p><p>8.    Preferable with own vehicle car</p>,"['Good working environment', 'Dynamic team']",Junior Executive,,2 years,"Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,,"['Miscellaneous allowance', 'Medical', 'Semi-formal', '5 days work week; 5 1/2 days (Alt Sat) work week; Shift Hours']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9379493&advertisement_id=9377864&s=20&AdvertisementSource=1,70120,North-East,sg
1,computer,/en/job/service-technician-copier-printer-computer-9401011,9401011,Service Technician (Copier / Printer / Computer),False,False,1800,3500,SGD,DigiFort Singapore Pte Ltd,21-Mar-22,False,,3 days,200822952M,,,1 - 50 Employees,,Joo Seng,"<p>DigiFort Singapore Pte Ltd was established in 2008. We are currently a specialized print solution partners with the following brands</p><p>1. Lexmark Business Solution</p><p>2. Konica Minolta Business Solution</p><p>In addition, we are also a certified &amp; trained service partner for</p><p>1. Lexmark Business Solution</p><p>2. Konica Minolta Business Solution</p><p>Our primary business focus is in leasing of IT peripherals &amp; printing equipment complete with our own comprehensive maintenance program. In our comprehensive maintenance program, we cover all our customers' needs from</p><p>- Hardware selection</p><p>- Supplies management</p><p>- Services &amp; maintenance</p><p>- Updates &amp; upgrades</p><p>- Solution conception</p><p>To find out more about us, you may visit our company website www.digifort.com.sg</p>","<p><strong>Job Description</strong></p><p><strong>Responsibilities:</strong></p><ul><li style=""text-align:justify"">To carry out installation, repair and preventive maintenance of customers’ printing devices (e.g. Multi-Function Printer, Laser Printers and its related IT devices)</li></ul><p><strong>Requirements:</strong></p><ul><li style=""text-align:justify"">Valid riding or driving license</li><li style=""text-align:justify"">Preferably with hand on servicing experience</li><li style=""text-align:justify""><span style=""color:black"">Able to work independently with minimum supervision</span></li><li style=""text-align:justify"">Good interpersonal skills, and a good team player</li><li style=""text-align:justify"">Candidates with no relevant work experience are also welcome to apply as training will be provided</li></ul><p><strong>Priority will be given to the following candidates</strong></p><ul><li style=""text-align:justify"">Able to start work soon / immediate</li></ul><p><strong>Please forward your detailed resume stating</strong></p><ul><li>qualification,</li><li>working experience,</li><li>current salaries</li><li>expected salary</li><li>contact number</li></ul>","['Immediate Position Available', '5 working days', 'Small & cohesive team']",Entry Level,,,"Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,,"['Dental', 'Miscellaneous allowance', 'Medical', 'Regular hours, Mondays - Fridays', 'Business (e.g. Shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9401011&advertisement_id=9399382&s=20&AdvertisementSource=1,701799,Central - Others,sg
2,computer,/en/job/algorithm-engineer-computer-vision-9358188,9358188,Algorithm Engineer (Computer Vision),False,False,,,SGD,Huawei International Pte Ltd,11 hours ago,False,,15 days,200717119C,,,1001 - 2000 Employees,,Buona Vista,"<div><strong>Huawei Technologies</strong> is a leader in providing next generation telecommunications networks, and now serves 35 of the world's top 50 operators, along with over one billion users worldwide. The company is committed to providing innovative and customized products, services and solutions to create long-term value and growth potential for its customers.</div>



<div>Huawei's products and solutions encompassing wireless products(HSDPA/WCDMA/EDGE/ GPRS/GSM, CDMA2000 1xEV-DO/CDMA2000 1X, TD-SCDMA, WiMAX), core network products ( IMS, Mobile Softswitch, NGN ), network products(FTTx, xDSL, Optical, Routers, LAN Switch), applications and software(IN, mobile data service, BOSS), as well as terminals(UMTS/CDMA). Major products are designed based on Huawei's ASIC chipset and utilize shared platforms to provide quality and cost-effective products.</div>



<div>At the end of Dec. 2008, Huawei has over 100,000 employees, of whom 48% are dedicated to R&amp;D. Huawei's global R&amp;D centers are located in Bangalore in India, Silicon Valley and Dallas in USA, Stockholm in Sweden and Moscow in Russia in addition to those in Beijing, Shanghai, Nanjing, Shenzhen, Hangzhou and Chengdu in China.</div>



<div>For more information about Huawei, please visit http://www.huawei.com</div>","<p><strong>Duties &amp; Responsibilities:</strong></p><p>● Involved in the research and development for various cutting-edge machine learning, deep learning, computer vision, computer graphic algorithms.</p><p>● Collaborate with engineer team and advance AI algorithms performance in various applications.</p><p><strong>Skills / Qualifications</strong>:</p><p>● PhD in the area of Machine Learning, Deep learning, Computer Vision, Computer Graphics, or similar area.</p><p>● Solid foundations of maths and algorithms: probability statistic, linear algebra, geometry, optimization method, image processing, 3D modeling, .etc.</p><p>● 3-5 years’ experience in computer vision algorithm design and implementation and excellent skills in at least one of machine learning/deep learning tools such as Tensor-flow, Pytorch, MxNet, .etc.</p><p>● Fast learning ability, to be able to understand and evaluate cutting edge paper within a short time. </p>","['Growing opporturnity', 'Dynamic working culture', 'Good Benefits']",Senior Executive,,3 years,"Master's Degree, Doctorate (PhD)",,Full-Time,,"['Dental', 'Medical', 'Regular hours, Mondays - Fridays', 'Business (e.g. Shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9358188&advertisement_id=9356559&s=20&AdvertisementSource=1,70170,Central,sg
3,computer,/en/job/it-associate-9359208,9359208,IT Associate,False,False,,,SGD,Singapore Children's Society,11 hours ago,False,,,S62SS0057G,,,51 - 200 Employees,,,"<p>About Singapore Children’s Society</p><p>Singapore Children's Society protects and nurtures children and youth of all races and religions. In 2020, the Society reached out to 34,654 children, youth and families in need. Established in 1952, its services have evolved to meet the changing needs of children.</p><p>Today, Children's Society operates 10 service centres islandwide, offering services in the four categories of: Vulnerable Children and Youth, Children and Youth Services, Family Services, and Research and Advocacy.</p><p>Our Mission</p><p>To bring relief and happiness to children in need</p><p>Our Vision</p><p>To be a leading edge organisation in promoting the well-being of the child</p>","<ul><li style=""text-align:justify"">Provide day-to-day IT support which includes set up of IT equipment</li><li style=""text-align:justify"">Troubleshoot and resolve technical issues and when necessary, liaise with vendors for support</li><li style=""text-align:justify"">Maintain routine housekeeping of IT equipment, software, and other applications</li><li style=""text-align:justify"">Guide users in digitalization of paper forms using Microsoft tool</li><li style=""text-align:justify"">Assist in the purchase requisition of IT equipment / software / licenses</li><li style=""text-align:justify"">Test and evaluate new technology for the organization</li><li style=""text-align:justify"">Contribute to IT procedure and knowledge base documentation</li><li style=""text-align:justify"">Any other IT related duties assigned by the management</li></ul><p style=""text-align:justify""><strong>Requirements</strong></p><ul><li style=""text-align:justify"">NITEC / Higher NITEC / Diploma in Information and Digital Technology or related fields</li><li style=""text-align:justify"">Minimum 2 years of relevant working experience</li><li style=""text-align:justify"">Good knowledge on Microsoft Office 365 applications (MS Forms, OneDrive, SharePoint, etc.</li><li style=""text-align:justify"">Knowledge in Power Apps and Power BI is an added advantage</li><li style=""text-align:justify"">Passionate about leveraging technologies to help in improving the organization’s efficiencies and productivity</li></ul><p>Interested applicants, please submit a detailed resume and expected salary via APPLY NOW button.</p><p>We regret that only shortlisted candidates will be notified.</p>","['Attractive benefits', 'Training opportunities', 'Respected and well established company within social service']",Entry Level,,2 years,"Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,,"['Dental', 'Education support', 'Medical', 'Regular hours, Mondays - Fridays', 'Business (e.g. Shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9359208&advertisement_id=9357579&s=20&AdvertisementSource=1,701720,Rochor,sg
4,computer,/en/job/computer-technician-9383248,9383248,Computer Technician,False,False,2000,3000,SGD,Budget PC Upgrade & Repair Pte Ltd,15-Mar-22,False,,25 days,201703113W,,,1 - 50 Employees,,Taiseng / Tampines,"<div>Budget PC Upgrade &amp; Repair Pte Ltd is one of the leading Computer repair company that has since expanded into 3 branches and we have an openings for Computer Repair Specialist.<br />
We brand ourselves as the honest, reliable and professional computing solution provider for the masses. When technology becomes a necessity, solution to technology hipcups becomes ever more important. We are here to bridge the gap.</div>","<p><span style=""color:black"">We are an industry leading computer services company that provides practical and cost effective solution to computing issues. By enabling the reuse of computer items, we are contributing to the global clean and green initiatives. Since our start in 2017, we are since rapidly expanded into 3 branches and We are looking for an individuals with a passion for computer hardware and problem solving to join our team. We have an openings for </span><strong>Computer Technician</strong></p><p><span style=""color:black"">In this role, you will be servicing desktops, laptops, servers and other computing devices to ensure that go through a stringent quality check process. You must take pride in your work, be equipped with a problem-solving mindset, willing to learn and able to work as a team.</span></p><p><span style=""color:black"">Beginners and low experience </span><strong>are welcomed</strong><span style=""color:black"">. Hands-on training will be provided to train up on troubleshooting, repair and advanced board level repair of PC based equipment. You will be able to learn how to diagnose fault for PC based equipment and the subsequent steps to replace components down to the surface mounted board level.</span></p><ul><li>An educational/professional background in IT is a bonus, not a strict requirement</li><li><strong>Looking for candidates with a passion for problem solving &amp; strong passion for PC products</strong></li><li><strong>Candidates must be willing to do hands on work and suitable for individual who loves trouble shooting</strong></li><li>Candidates must be able to converse in English</li><li>Strictly Full Time application. Part Time &amp; Temporary role is NOT available.</li><li>To provide intermediate Support and troubleshooting for Computing equipment</li><li>Looking for candidates with a passion for problem solving &amp; strong passion for PC products</li><li>Candidates must be customer oriented and able to talk to people at all levels</li><li>Candidates will have to converse with customers to answer their inquiries and perform initial diagnostic of the equipment when customers first bring them in.</li><li>To be able to work Independently and ensure daily KPI and outstanding cases are followed through</li><li>Beginner or Intermediate computing devices repair experience</li><li><strong>For Work Pass/Citizens or PR</strong></li><li>Passionate about PC Hardware with some hands on experience</li></ul><p><strong>Working hours:</strong><span style=""color:black""> 6-days work week (11 am to 7.00pm daily) Tampines/Taiseng</span></p><ul><li>Candidate must possess at least Higher secondary/Pre-U/A level/College, Professional Certificate/NiTEC, Diploma/Advanced/Higher/Graduate Diploma in any field.</li><li>Required language(s): English</li><li>No working experience in the related field is required for this position.</li><li>Required Skill(s): computer hardware repair, computer software troubleshooting, server hardware repair, server software troubleshooting, Apple products repair</li><li>Preferably Non-Executive specialized in IT/Computer - Hardware or equivalent.</li></ul>","['Rapidly expanding with lots of opportunities', 'Young and energetic team with emphasis on independence', 'Lots to learn if you have passion for computers']",Non-Executive,,,Not Specified,,Full-Time,,"['Dental', 'Miscellaneous allowance', 'Medical', 'Polo-T (with Jeans), Company T-Shirt', '10.30am-7.30pm']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9383248&advertisement_id=9381619&s=20&AdvertisementSource=1,70140,East,sg
5,computer,/en/job/business-development-manager-industrial-server-computer-9395383,9395383,Business Development Manager -- Industrial Server / Computer,False,False,4500,6500,SGD,KYLAND TECHNOLOGY ASIA PTE LTD,18-Mar-22,False,,,201612700W,,,1 - 50 Employees,,,"<div>
<div>Kyland focuses on research and implementation around the total solution of Industrial Control Networking.  We are a leading innovator of solutions in the field of industrial networking technology.  Our mission is to build the next generation industrial control ecosystems based on internet connectivity.</div>



<div>Kyland's primary R&amp;D directions are: industrial Ethernet communications technologies, IP-based industrial Fieldbus technologies, network-based field controller technologies, cloud-based industrial controlling server technologies, network-based precise time/clock technologies and control message communication security technologies.</div>



<div>Kyland drove the creation of 3 international standards for industrial automation: IEC61158, IEC62439, IEEEC37.238, and GBT 30094 for China. All Kyland products incorporate international standards - KEMA, CE/ FCC, UL508, ATEX, Class1 Div.2 &amp; DNV as required by our vertical market focus.  Kyland products have been deployed worldwide and have been proven to meet the requirements of harsh environments like nuclear power plants, substations, oil &amp; gas fields, railway &amp; public transportation, ITS, marine, and military.</div>



<div>Customer Service and Quality Assurance is a priority at Kyland. We offer professional pre and post-sale technical support and application training for our clients. Kyland products are warranted for 5 years.  Kyland prides itself in offering products that provide the best price performance ratio in the market.</div>
</div>","<p><span style=""color:windowtext"">R&amp;R:</span></p><p><span style=""color:windowtext"">1. Promote Kyland industrial server / computer products in Asia</span></p><p><span style=""color:windowtext"">2. Engage with channel partners and OEM/ODM potential customers throughout the sales cycle </span></p><p><span style=""color:windowtext"">3. Work closely with the product team and marcom team for the product and marketing related activities  </span></p><p><span style=""color:windowtext"">Requirements:</span></p><p><span style=""color:windowtext"">1. Proficient in both English &amp; Mandarin; 3rd language will be a plus    </span></p><p><span style=""color:windowtext"">2. Basic understanding of computer technologies </span></p><p><span style=""color:windowtext"">3. Basic understanding of industrial automation and control technologies, such as SCADA, PLC language </span></p><p><span style=""color:windowtext"">4. 5+ years of related sales or FAE experiences </span></p><p><span style=""color:windowtext"">5. High discipline &amp; communication skills while WFH   </span></p><p><span style=""color:windowtext"">6. Able to travel in high frequency once the travel restriction is lifted</span></p>","['A fast growing company with strong technical capability', 'Financially stable, listed in Shen-zhen stock market']",Senior Executive,,5 years,Not Specified,,Full-Time,,"['Regular hours, Mondays - Fridays', 'Business (e.g. Shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9395383&advertisement_id=9393754&s=20&AdvertisementSource=1,70000,Singapore,sg
6,computer,/en/job/it-support-engineer-9409542,9409542,IT Support Engineer,False,False,2800,3800,SGD,OTSAW DIGITAL PTE. LTD.,6 hours ago,False,,,201511868R,,,1 - 50 Employees,,,"<p>OTSAW is a global pioneer in advanced robotics technologies and next-generation artificial intelligence for healthcare, security delivery and mobility applications to improve safety, business processes and everyday lives.</p>","<p><strong>Job Description</strong></p><p><span style=""color:black"">IT support engineer provide technical support for internal stakeholders experiencing hardware, software, and networking issues. They work either on-site to assist with software installations, network failures, hardware malfunctions, and other IT related issues. The candidate should also have an interest in process automation and database related functions. </span></p><p><strong>Roles and Responsibilities:</strong></p><ul><li><span style=""color:black"">Evaluate and/or recommend purchases of computers, network hardware, peripheral equipment, and software</span></li><li><span style=""color:black"">Maintain and update inventory of necessary IT hardware and equipment including computers, monitors, printers, CCTV, modems etc.</span></li><li><span style=""color:black"">Evaluate and/or recommend purchases of computers, network hardware, peripheral equipment, and software</span></li><li><span style=""color:black"">Troubleshooting of Network problems.</span></li><li><span style=""color:black"">Responsible for IT support for IT issues which needs hands on support such as hardware problem diagnostics, PC/software installation, configuration, maintenance of operating systems, etc.</span></li><li><span style=""color:black"">Good knowledge on Office 365 related applications (Outlook, OneDrive, Sharepoint,etc.)</span></li><li><span style=""color:black"">Support with the physical setup and installation/replacement of network equipment</span></li><li><span style=""color:black"">Experience in troubleshooting of network issues.</span></li></ul><p><strong>Requirements</strong></p><ul><li><span style=""color:black"">Candidate must possess at least Diploma in any IT related course</span></li><li><span style=""color:black"">Effective communication (both written &amp; verbal), interpersonal skills and personable</span></li><li><span style=""color:black"">Prebaby At least 2 years of working experience in Windows or LINUX or Networking.</span></li><li><span style=""color:black"">Positive working attitude</span></li></ul>","['Career Development', 'Friendly and Energetic Working Environment', 'Insurance & Medical Coverage']",Junior Executive,,2 years,"Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,,"['Miscellaneous allowance', 'Medical', 'Regular hours, Mondays - Fridays', 'Casual (e.g. T-shirts)', 'Annual Leaves, Medical Claims']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9409542&advertisement_id=9407913&s=20&AdvertisementSource=1,701406,Tampines,sg
7,computer,/en/job/operations-engineer-computer-network-9382968,9382968,Operations Engineer (Computer Network),False,False,4000,5000,SGD,BOSING TECHNOLOGIES PTE. LTD.,15-Mar-22,False,,,201809635Z,,,1 - 50 Employees,,,"<div>
<div style=""text-align:justify"">Our Company is committed to enhance the energy efficiency and the provider of efficient lighting, energy-saving transformation service, and energy efficiency management system solutions and services.</div>



<div style=""text-align:justify"">To build energy efficiency management and energy-saving services platform by taking serve as the core and technology-oriented. With a unique zero cost effective EMC business model, very forward-looking energy management technology research and development team and industry -leading technology energy-saving products, Bosing Technologies focus on providing customers with personalized, comprehensive and effective integrated energy solutions.</div>
</div>","<p>Job Responsibilities:</p><p>1. Deploy and upgrade server software platform</p><p>2. Routine maintenance, providing timely response to deal with various faults of the software platform and provide technical support to sales department</p><p>3. Develop auxiliary scripts related to software operation and maintenance, participate in related project planning, and write related documents</p><p>4. Responsible for system hardware installation, maintenance and have basic knowledge of hardware</p><p>5. Monitor and handle network failures to ensure stable network operation</p><p>Requirements:</p><p>1. Degree and above, with at least 1 year of relevant work experience;</p><p>2. Computer network, communication or other related majors preferred;</p><p>3. Knowledge of database management tools and understand basic CRUD commands;</p><p>4. Plus point - Knowledge of common commands of Linux and scripting of Windows</p>",[],Junior Executive,,1 year,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,,"['Regular hours, Mondays - Fridays', 'Business (e.g. Shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9382968&advertisement_id=9381339&s=20&AdvertisementSource=1,70000,Singapore,sg
8,computer,/en/job/it-support-9342397,9342397,IT Support,False,False,2000,2800,SGD,ML Systems Integrator Pte Ltd,18-Mar-22,False,,,201540491W,,,1 - 50 Employees,,Ubi,"<div style=""text-align:justify"">ML Systems Integrator Pte Ltd is an IT firm priding ourselves in the provision of solutions, services and support to our clients, all with the welfare of our clients in mind. We have a wide suite of service offerings and operate as a one-stop hub to assist and support clients from the initial office set-up to maintenance of their IT infrastructure.</div>","<p><span style=""color:rgba(0, 0, 0, 0.87)"">Responsibilities include:</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Provide onsite support to end users on server, desktop and network related challenges</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Update incident ticketing system and coordinate with the team or other support group to close the incident</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Assist in other IT related projects or activities such as upgrades, changes, maintenance, and relocations as when required</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Requirements:</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">IT savvy and proficient in Wintel operating system and basic networking</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Windows Servers (including Exchanges) knowledge is preferably required</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Strong interest in IT and Customer Service</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Customer-oriented, patient and a strong team player</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Possess good communication and interpersonal skills</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Job Summary</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">5.5 days working week</span></p><p><span style=""color:rgba(0, 0, 0, 0.87)"">Fruitful and rewarding work</span></p>","['Immediate Hiring', 'Competitive Salary with incentives', 'Easy accessible to MRT Station']",Junior Executive,,2 years,"Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,,"['Dental', 'Miscellaneous allowance', 'Medical', 'Business (e.g. Shirts)', '5.5 Working days']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9342397&advertisement_id=9340768&s=20&AdvertisementSource=1,701404,Paya Lebar,sg
9,computer,/en/job/it-support-officer-9400058,9400058,IT Support Officer,False,False,1600,2200,SGD,Hermes-Epitek Corporation Pte Ltd,21-Mar-22,False,,,199200780N,,,51 - 200 Employees,,,"<p>At Hermes, we believe human capital is our treasure.The concepts of Partnership &amp; Service are shared amongst the Hermes staff members. We are looking for people with the same ambition and goal to accomplish our mission.</p><p>We're looking for those with the core competences of:</p><p><strong>Customer Service Orientation</strong></p><p>Those who are able to place understand the clients' perspective, and do their best to meet clients' needs.</p><p><strong>Innovation</strong></p><p>Those who can think with many different points of view, and figure out a creative solution to solve a problem.</p><p><strong>Communication / Individual Leadership</strong></p><p>Those who can encourage other team members with their interpersonal and management skills, to accomplish goals.</p><p><strong>Team work</strong></p><p>Those who can be content to be a member of a larger team, and do the best to achieve those team goals.</p><p><strong>Problem Solving</strong></p><p>Those who can think logically and practically to work out successful solutions for problems faced.</p>","<p><strong>Job Highlights</strong></p><p><span style=""color:black"">·      3 months Completion Bonus on 2 years renewable contract</span></p><p><span style=""color:black"">·      Mon - Fri 8.30am to 5.30pm. Training provided</span></p><p><span style=""color:black"">·      Mobile Allowance + OT + Medical reimbursement</span></p><p><strong>Job Description</strong></p><p><span style=""color:black"">2 years renewable contract with 3 months completion bonus. 5 days week + OT + Mobile allowance. To provide 1</span>st<span style=""color:black""> level IT helpdesk support and support of MIS day-to-day operations. </span></p><p><strong>Responsibilities</strong></p><ul><li>Serve as the first contact with users who need technical assistance via the ticketing system, phone, or email</li><li>troubleshoot system and network problems, diagnosing and solving hardware or software issues raised from users.</li><li><span style=""color:black"">Responding in a timely manner to users’ issues and requests</span></li><li><span style=""color:black"">Following up with users to ensure full resolution of issues</span></li><li><span style=""color:black"">Manage helpdesk tickets in a timely manner</span></li><li><span style=""color:black"">Install, configure, upgrade, and deploy of computer system, software, printers, network devices, etc.</span></li><li>Assist in IT infrastructure projects and documentation of manuals, etc.</li><li>Ad-hoc duties assigned by supervisor</li></ul><p><strong>Requirements</strong></p><ul><li><span style=""color:black"">Must possess Nitec / Diploma from Information Technology or equivalent discipline</span></li><li><span style=""color:black"">Tech savvy with working knowledge of Windows 10/11, Linux, office products, McAfee/Sophos Antivirus, etc.</span></li><li><span style=""color:black"">Good analytical and problem-solving skills</span></li><li><span style=""color:black"">Good communication and interaction skills</span></li><li><span style=""color:black"">Team player and able to work independently</span></li><li><span style=""color:black""> Able to start work immediately preferred</span></li></ul>",[],Junior Executive,,2 years,Not Specified,,Contract,,"['Dental', 'Miscellaneous allowance', 'Medical', 'Vision', 'Regular hours, Mondays - Fridays', 'Business (e.g. Shirts)', 'Flexi Benefits']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9400058&advertisement_id=9398429&s=20&AdvertisementSource=1,70140,East,sg
