,keyword,link,job_id,job_title,job_expired,job_confidential,job_salary_min,job_salary_max,job_salary_currency,company,job_post_date,job_internship,company_website,company_avgProcessTime,company_registrationNo,company_workingHours,company_facebook,company_size,company_dressCode,company_nearbyLocations,company_overview,job_description,job_summary,job_requirement_career_level,job_requirement_fieldOfStudy,job_requirement_yearsOfExperience,job_requirement_qualification,job_requirement_skill,job_employment_type,job_languages,job_benefits,job_apply_url,job_location_zipcode,job_location,job_country
0,software engineer,/en/job/software-engineer-9368047,9368047,Software Engineer,False,False,,,SGD,Teradyne Asia Pte Ltd,13 hours ago,False,,,200311819K,,,51 - 200 Employees,,Science Park 2,"<div style=""text-align:justify"">
	We deliver competitive advantage to the world's leading semiconductor, electronics and automotive companies. Teradyne (NYSE:TER) is a leading supplier of Automatic Test Equipment. The company's divisions, Assembly Test, Semiconductor Test, and Vehicle Diagnostic Solutions, are organized by the products they develop and deliver. Assembly Test: A global leader in electronics testing and inspection solutions serving the world's leading original equipment manufacturer and electronics manufacturing services suppliers. ATD's Products and services include: In-Circuit Board Test Systems, Functional Test Platforms, Automated X-Ray Inspection, Military and Aerospace Test Solutions, Test, Design &amp; Analysis Software, System Upgrade, Software and Parts, Factory Reconditioned, and Service Offerings. Semiconductor Test: The world's largest supplier of semiconductor test equipment for logic, RF, analog, power, mixed-signal, and memory technologies. We deliver test solutions to developers and manufacturers of a broad range of integrated circuits, packaged separately or integrated as cells in system-on-a-chip (SOC) devices. ICs tested by Teradyne are used in computing, communications, consumer, automotive, identification, and internet applications. Products include FLEX, J750, Tiger, and Catalyst. Vehicle Diagnostic Solutions: Teradyne Diagnostic Solutions is a global supplier of Manufacturing Configuration and Test, Service Bay Diagnostics and Telematics solutions for transportation OEMs and independent service providers. We provide technology, experience and processes to assist our customers to solve those problems and exploit the opportunities, helping them to accelerate time-to-market, improve quality, and reduce costs.</div>","<p>Teradyne Software Engineering team is looking for a highly-motivated, energetic, technically driven Software Engineer to focus on the development of software systems for products within the Semiconductor Test division. Development occurs in a dynamic and challenging multi-site development environment.</p><p><strong>Roles and Responsibilities:</strong></p><ul><li>Design, implement and test system software in support of both the IG-XL development environment for the UltraFLEX family platform and Eagle software for the ETS platform. </li><li>System software supports all digital and analog instruments, runs on various operating systems and this team architects and develops core services used by the driver teams.</li><li>The team also selects computing hardware that best matches product requirements and ensures that the software can run as a 32-bit and a 64-bit application.</li><li>Duties will include developing and analyzing software requirements, developing the functional specifications and design documents based on the requirements, implementation of the code using C#, C++, .Net and COM/ATL, and unit testing and verification of the code.</li><li>The candidate will be responsible to debug and solve complex software and computing issues.</li><li>The candidate will interface with a number of organizations on a daily basis.</li></ul><p><strong>Requirements:</strong></p><ul><li>BSCS, BSCE, BSEE or equivalent</li><li>Desired: at least 3 years experience with general software development experience with commercial applications</li><li>Project work involving developing software applications that control hardware products</li><li>Solid grasp of Object-Oriented Design and software data structures, UML is desirable</li><li>Proficiency in C#, C++ and OOD required</li><li>Excellent written and verbal communication skills of complex systems is required.</li><li>Working knowledge of VB required.</li><li>Knowledge of UML Design, Rational Products (Clearcase, Rational Rose, Rational Purify, Rational PureCoverage, Rational Quantify…) is a plus</li><li>Ability to understand and debug complex a system is a plus.</li><li>Ability to work as part of software development team required.</li><li>Prior ATE experience and/or hardware knowledge is a plus.</li><li>Working knowledge of computing hardware is a plus.</li><li>Knowledge of Agile, C/I, JIRA is a plus.</li></ul>","['Fixed 13 month package', 'Profit Sharing and Stock Purchase Program', 'Medical Benefit for your family']",Junior Executive,,3 years,Not Specified,,Full-Time,,"['Education support', 'Medical', 'Sports (e.g. Gym)', 'Parking', 'Regular hours, Mondays - Fridays']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9368047&advertisement_id=9366418&s=20&AdvertisementSource=1,701599,West - Others,sg
1,software engineer,/en/job/software-development-engineer-9318731,9318731,Software Development Engineer,False,True,,,SGD,,25-Mar-22,False,,,,,,,,,"<p><span style=""color:rgb(45, 54, 72)"">Incorporated in 2000, we are a specialist in the provision, design, implementation and maintenance of green ICT for integrated building and facility management solutions. To date, we have implemented a broad range of projects for commercial and government buildings, educational institutions, residential developments, semiconductor wafer fabs, pharmaceutical plants, other industrial manufacturing facilities, wastewater treatment facilities, and aviation and transportation infrastructure.</span></p>","<ul><li>Take ownership for delivering the development task assigned.</li><li>Ensure delivery within tight timelines and meeting the team’s expectationGet involved in the entire lifecycle of the development project.Understand the requirement and ensure quality deliverables.</li><li>Ensure quality and optimized coding with proper documentation.</li><li>Do peer code reviews.</li><li>Develop unit plan and perform unit testing and provide continuously improved product experience.</li><li>Actively assist Support and Sales team wherever required.</li><li>Participate in the technical design.</li><li>Together with the team contribute to innovative &amp; best-in-class solutions for our business.</li></ul><p><strong>Requirement</strong></p><ul><li>Degree in Information Technology, Computer Science or a related discipline.</li><li>In-depth experience in pure technical roles in development of various software applications.</li><li>In depth knowledge and application of Java, J2EE, JSP, Servlets, JDBC, Spring Framework, Struts framework and JavaScript.</li><li>Proficient experience on usage of web markup, including HTML5 and CSS3.</li><li>Responsive UI Development experience with Bootstrap, JQuery.</li><li>Knowledge on Node.JS, AngularJS.</li><li>Well verse with the use of XML, JSON and REST services.</li><li>Thorough understanding of usage of the fundamental concepts like Exception Handling, Static block/variables/classes, OOPS concepts, Collections, Multi-Threading, http sessions, session handling, Servlets/JSP life cycle, JDBC, actions, events, implicit objects, custom tags, context.</li><li>Hands-on experience on architecting and developing Microservices.</li><li>Work experience on DevOps tools not limited to Docker, Jenkins, Kubernetes.</li><li>Experience on ELK Stack, Apache Kafka and Analytics is a major plus.</li><li>Exposure to an industry-standard database (SQL Server) with awareness of database design and SQL scripting knowledge and performance tuning.</li><li>Awareness of application servers.</li><li>Work experience on the transactional applications for low latency, high availability uses is a plus.</li><li>Ability to work in a fast-paced and agile development environment and to learn new frameworks/stacks.</li></ul>","['Competitive salary and benefit', 'Career growth', 'Growing company']",Junior Executive,,3 years,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,,[],https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9318731&advertisement_id=9317102&s=20&AdvertisementSource=1,70140,East,sg
2,software engineer,/en/job/software-verification-engineer-9368038,9368038,Software Verification Engineer,False,False,,,SGD,Teradyne Asia Pte Ltd,13 hours ago,False,,,200311819K,,,51 - 200 Employees,,Science Park 2,"<div style=""text-align:justify"">
	We deliver competitive advantage to the world's leading semiconductor, electronics and automotive companies. Teradyne (NYSE:TER) is a leading supplier of Automatic Test Equipment. The company's divisions, Assembly Test, Semiconductor Test, and Vehicle Diagnostic Solutions, are organized by the products they develop and deliver. Assembly Test: A global leader in electronics testing and inspection solutions serving the world's leading original equipment manufacturer and electronics manufacturing services suppliers. ATD's Products and services include: In-Circuit Board Test Systems, Functional Test Platforms, Automated X-Ray Inspection, Military and Aerospace Test Solutions, Test, Design &amp; Analysis Software, System Upgrade, Software and Parts, Factory Reconditioned, and Service Offerings. Semiconductor Test: The world's largest supplier of semiconductor test equipment for logic, RF, analog, power, mixed-signal, and memory technologies. We deliver test solutions to developers and manufacturers of a broad range of integrated circuits, packaged separately or integrated as cells in system-on-a-chip (SOC) devices. ICs tested by Teradyne are used in computing, communications, consumer, automotive, identification, and internet applications. Products include FLEX, J750, Tiger, and Catalyst. Vehicle Diagnostic Solutions: Teradyne Diagnostic Solutions is a global supplier of Manufacturing Configuration and Test, Service Bay Diagnostics and Telematics solutions for transportation OEMs and independent service providers. We provide technology, experience and processes to assist our customers to solve those problems and exploit the opportunities, helping them to accelerate time-to-market, improve quality, and reduce costs.</div>","<p>We have an immediate need for a talented Applications oriented Software Verification Engineer to join our Quality Engineering Team in Singapore. The Quality Engineering (QE) Team is responsible for assessing Quality at all stages of the Product Development Life Cycle so that Teradyne maintains its Quality leadership in the Automatic Test Equipment industry. </p><p>A Software Verification Engineer on the QE team will use Teradyne Software - IGXL (MS Excel/Visual Basic based) and work with in-house tools and cutting-edge digital and analog hardware.</p><strong>Responsibilities</strong><ul><li>Reviewing system, hardware, and software requirements</li><li>Planning, Designing, creating, executing, and automating User oriented tests focused on proving our products work as planned</li><li>Creating and enhancing our Quality Screens in a Continuous Delivery/Integration environment</li><li>Aligning our testing and screens to our customers' needs </li><li>Enhancing in-house tools to make test creation more efficient and effective </li><li>Managing the defects in the defect tracking database in the reporting, duplication and resolution of issues found during product verification.</li><li>Interact with software, field applications, and hardware engineering teams, and work closely with Software Development Engineering and Field Applications teams.</li><li>Provide expertise to the applications team and learn from them in order to reduce defect escapes.</li></ul><strong>Basic Qualifications &amp; Skills</strong><ul><li>BSEE/BSCS/BS Computer Engineering/BS Software Engineering or equivalent</li><li>Strong experience with Agile and/or Waterfall Software Development Life Cycles</li><li>History/experience of using Teradyne Testers (or equivalent)</li><li>Programming with C/C++, C# (or equivalent) and/or VBA/Excel</li><li>Strong commitment to product quality.</li><li>Strong team player with good interpersonal and problem-solving skills. </li><li>Effective written and verbal communications skills in English</li><li>Prior programming experience on Teradyne or other semiconductor ATE platform is required. </li><li>Able to work in an international, multi-site, dynamic, team-oriented environment</li><li>Represent QE department at Senior Managers project reviews</li><li>Development background preferred.</li><li>Years of experience: minimum 5</li></ul>","['Fixed 13 month package', 'Profit Share and Employee Stock Program', 'Medical coverage for your family']",Junior Executive,,5 years,"Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,,"['Education support', 'Medical', 'Sports (e.g. Gym)', 'Parking', 'Regular hours, Mondays - Fridays']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9368038&advertisement_id=9366409&s=20&AdvertisementSource=1,70150,West,sg
3,software engineer,/en/job/front-end-software-engineer-9369221,9369221,Front-end Software Engineer,False,False,,,SGD,GREYPANEL PTE. LTD.,13 hours ago,False,,,201627171K,,,1 - 50 Employees,,,"<p>Greypanel is committed to providing customers with more comprehensive network acceleration and defense services. Whether it is static website acceleration, game website acceleration or DD or CC attack defense, you can find a solution that suits you in Greypanel.</p>","<ul><li>According to the company's project development requirements, be responsible for the design and development of the PC front-end architecture</li><li>According to project requirements, analyze and provide reasonable front-end page structure solutions</li><li>Responsible for writing front-end design documents of program modules</li><li>Effectively cooperate with the back-end developer to complete functions</li><li>According to project requirements, package front-end components with high reuse and maintainability</li></ul><p><strong>Job requirements：</strong></p><ul><li>Familiar with basic technologies such as HTML5, CSS3, JavaScript, etc., familiar with W3C standards and specifications, and have a good sense of performance optimization and componentization</li><li>Proficient in using Vue or React development framework, familiar with common data structures and algorithms</li><li>Familiar with es5, es6, proficient in using Git for version control</li><li>Understand the WebPack front-end process</li><li>Understand Canvas, Echarts.js, D3.JS, Highcharts, etc.</li><li>Familiar with public cloud products and technologies, experience in cloud management platform or CDN product development is preferred</li></ul>",[],Senior Executive,,3 years,Not Specified,,Full-Time,,"['Miscellaneous allowance', 'Medical', 'Regular hours, Mondays - Fridays', 'Casual (e.g. T-shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9369221&advertisement_id=9367592&s=20&AdvertisementSource=1,70000,Singapore,sg
4,software engineer,/en/job/java-software-engineer-9387593,9387593,Java Software Engineer,False,False,3300,6500,SGD,MVI Technologies (S) Pte Ltd,13 hours ago,False,,,199103870C,,,1 - 50 Employees,,Eunos,"<p>MVI is in the forefront of innovation excelling in mission-critical financial systems. We developed solutions which even our competitors internationally are envious of.</p><p>Built with the future of today in mind, MVI’s configurable solutions shine in their flexibility and agility to meet the requirements for financial institutions and Payment Service Providers. We have solutions available on both the Cloud and on-premise.</p>","<p><span style=""color:rgb(0, 0, 0)"">We are looking for passionate people who enjoy and want to build their careers in Software Engineering. We have lots of exciting ongoing projects and many more to come due to a new product range that is generating a lot of interest around the region.</span></p><p><strong>Role and responsibilities</strong></p><ul><li>Design, develop and maintain new and existing software products for our banking and payment service provider customers worldwide</li><li>Develop reusable codes that are optimized for high performance, robustness and massive scalability for mission-critical systems in both Cloud and on-premise environments</li><li>Integrate software components into fully functional software system</li><li>Support and maintain software libraries and databases through proper documentation</li><li>Analyse, design and develop test cases for our products and software</li><li>Resolving problems including bugs fixing</li><li>Perform investigations in reported problems/errors and initiate amendments and testing and take necessary corrective actions</li></ul><p><strong>Requirements</strong></p><ul><li>Good software development knowledge/experience</li><li>Core Java programming with SQL experience</li><li>Degree or Diploma in IT-related area</li><li>Able to work independently as well as in a team</li><li>Problem solver with good critical thinking and sharp troubleshooting skills</li><li>Adaptability to different situations</li><li>Able to multi-task, possesses Initiative with passion for excellence</li><li>Keen learner and teachablele</li></ul><p><strong>Preferred (not mandatory) skills/knowledge/Experience/Quality</strong></p><ul><li>Banking &amp; payment Software</li><li>Good communication skills</li><li>Ability to cover full-stack</li><li>Experience in Software Vendor environment</li><li>Spring MVC/JavaScript/Jquery</li><li>Hibernate</li><li>Tomcat/JBoss</li><li>Messaging (MQ) and Asynchronous Processing</li></ul>","['Provides vast experience in the Financial and Payment domain', 'Improve critical thinking skills and produce innovative solutions', 'Hands-on practice of programming with an expert mentor.']",Junior Executive,,1 year,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,Full-Time,,"['Medical', 'Regular hours, Mondays - Fridays', 'Casual (e.g. T-shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9387593&advertisement_id=9385964&s=20&AdvertisementSource=1,70140,East,sg
5,software engineer,/en/job/software-engineer-9384974,9384974,Software Engineer,False,False,4500,6000,SGD,AIT Technologies Pte Ltd,24-Mar-22,False,,,201131141N,,,1 - 50 Employees,,Ubi,"<p>AIT Technologies (AIT) was established in year 2011, providing ICT products in the aspect of interactive solution; largely in Intelligent Automated Machines and Self-service Kiosks.</p><p>Focusing on Human-Machine Interactive Technologies as our core R&amp;D, it’s not only providing our customers with high level of user experience while interacting with the product but also provides human analytics data to strengthen their business and better perform DIQ (Digital Artificial IQ) processes. These core technologies are applied into the company products such as DigiQuin™(Retail), 1st Hotel Licensing Board’s Approved Self Check-in/out Kiosk (Hospitality) and Self Health-screening Kiosk (Licensed via public healthcare cluster) with highly disruptive growing potential.</p><p>AIT’s also provide customisation of kiosk with their professional designer, providing customer their leading edge in demand and lifestyle concept. Our standard Kiosk designs are also constantly reflesh to stay relevant to our disruptive and everchanging trends.</p><p>Today, AIT’s has become the leader in this industry from many government’s, commercial users and credentials.</p>","<p><strong>Responsibilities:</strong></p><ul><li>Participate in full project cycle from requirements gathering to project implementation, maintenance, and support.</li><li>Assist in the integration testing, system testing, User Acceptance Test (UAT) &amp; implementation activities to fix the reported problems/bugs of the system to ensure the smooth execution of programs in the production environment.</li><li>Develop necessary technical deliverables such as technical design document, solution deck, testing plan, and so on.</li><li>Work with project team members to design algorithms and flowcharts.</li><li>Make changes to configurable items, which include hardware, software, documentation, etc.</li><li>Troubleshoot and resolve customers' issues through root cause analysis.</li></ul><p><strong>Requirements:</strong></p><ul><li>Candidate must possess at least professional certificate, diploma, post graduate diploma, computer science or information technology or equivalent</li><li>Required ASPNet, WPF, javascript, dll and com port driver writing</li><li>Develop server side API and web services</li><li>Must have experience in database design , SQL store procedure and SOAP web service</li><li>At least 1 year working experience in related fields is required for this position</li><li>Strong analytical and communication skills</li></ul>",[],Junior Executive,,1 year,"Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,,"['Dental', 'Education support', 'Miscellaneous allowance', 'Medical', 'Parking', 'Regular hours, Mondays - Fridays', 'Casual (e.g. T-shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9384974&advertisement_id=9383345&s=20&AdvertisementSource=1,701499,East - Others,sg
6,software engineer,/en/job/software-engineer-plc-9382627,9382627,Software Engineer (PLC),False,False,4000,6000,SGD,FA Systems Automation (S) Pte Ltd,24-Mar-22,False,,,199300474E,,,51 - 200 Employees,,Close to Changi Business Park,"<div style=""text-align:justify"">Established in 1988, FA Systems Automation is a progressive and well-established organization providing advanced, high-precision manufacturing automation equipment and solutions to meet our customers’ requirements.</div>



<div style=""text-align:justify"">We provide full turnkey manufacturing systems and solutions, which are customized to meet our customers’ demanding specifications:</div>



<div>
<ul>
	<li style=""text-align:justify"">Conceptualization</li>
	<li style=""text-align:justify"">System Design and Development   – In-house Mechanical and Electrical Design, Software and Vision Development;</li>
	<li style=""text-align:justify"">Precision Machining</li>
	<li style=""text-align:justify"">High-precision Assembly and Integration Quality Assurance; and</li>
	<li style=""text-align:justify"">Testing and commissioning.</li>
</ul>

<div style=""text-align:justify"">Today, FA Systems Automation has a proven track record and has gained the trust and confidence of our customers by consistently and successfully meeting their demands by providing:
<ul>
	<li>Innovative &amp; elegant solutions to challenging problems,</li>
	<li>User-friendly features – simple to use &amp; maintain,</li>
	<li>Quality and Reliability,</li>
	<li>Very Quick Turn-around &amp; On-time delivery,</li>
	<li>Competitive pricing,</li>
	<li>Outstanding after-sales support &amp; service.</li>
</ul>

<div>Our equipment design and system integration concepts and methodologies incorporate cost-effective and leading-edge technologies to achieve ease of user operation and maintenance, reliability and safety.<br />
<strong> </strong></div>

<div>
<div><strong>Mission</strong></div>



<div>Consistently deliver, as per committed Schedules, Automation Equipment &amp; Solutions that are Cost-effective &amp; are of the required Quality in order to successfully satisfy the requirements of our Customers at the Lowest Cost of Ownership with the Highest Yield &amp; Uptime, thereby creating value for our Customers, Sharefolders, &amp; Employees.<br />
<br />
 </div>
</div>
</div>
</div>","<p><strong>Job Description:</strong></p><ul><li>Responsible to configure, setup, design process sequences, troubleshoot, and fine-tune processes on projects using FASA applications or help to develop them.</li><li>Responsible for carry-out machine on-site setup and buy-off process.</li><li>Design and implement innovations, creation &amp; improvement of company software products to foreseen future challenges and sustainability.</li><li>Act as a lead for core efforts such as setup, troubleshooting, and buy-off project using established procedures.</li></ul><p><strong>Requirements</strong></p><ul><li> Degree in electrical engineering, software engineering, mechanical engineering, mechatronics engineering, or equivalent practical experience. </li><li>Experience in semiconductor process and engineering knowledge with a demonstrated understanding of troubleshooting at a high level.</li><li> Intermediate level of C#, C programming language, Omron PLC, Mitsubishi PLC, and Siemens, including installation, systems administration, and troubleshooting.</li><li>Experience in Beckoff PLC; or</li><li>Experience in Allen Bradley PLC;</li><li>Basic knowledge of motion control systems;</li><li>Basic knowledge of image processing terminology.</li><li>Able to meet deadlines and work under pressure;</li><li>Willing to travel overseas;</li><li>Able to work independently.</li></ul>","['Attractive remuneration package, 5 working days per week', 'Provide medical benefits, insurance coverage and transportation', 'Provide opportunities for career advancement']",Senior Executive,,5 years,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,,"['Medical', 'Regular hours, Mondays - Fridays', 'Insurance', '-']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9382627&advertisement_id=9380998&s=20&AdvertisementSource=1,701499,East - Others,sg
7,software engineer,/en/job/senior-software-engineer-java-full-stack-9365346,9365346,"Senior Software Engineer (Java, full stack)",False,False,,,SGD,Adnovum Singapore Pte Ltd,13 hours ago,False,,30 days,201003865Z,,,1 - 50 Employees,,,"<div>
	Adnovum Introduction: Headquartered in Zurich, Adnovum is a leading IT consultancy and software house that specialises in the implementation of demanding security, mission-critical applications and integration projects. We are known for our technological competence and innovative strength. Our solutions are often deployed on a national level and functions as major cornerstones of the country's economy.<br />
	For more than 30 years, Adnovum has developed a reputation for being a trusted technology partner. Retaining more than 90% of our customers annually, we have forged strong relationships with public sector agencies, global banks, insurance companies, and other renowned enterprises looking to establish secure digital environments. Adnovum employs over 500 staff worldwide and runs offices in Zurich, Bern, Budapest, Singapore and Ho Chi Minh.</div>","<p><strong><u>Your role:</u></strong></p><p>As a Senior Software Engineer in Adnovum, you will work with highly skilled and experienced engineers who have their work measured against the highest standards.</p><p>The projects you work on will not only solve the customers’ problems but deliver the added value that defines all Adnovum' s software solutions. The main task of a senior software engineer is to design and develop new solution features according to the requirements and along a defined road-map in a timely manner.</p><p><strong><u>Responsibilities and Duties:</u></strong></p><p>In your daily work, you will:</p><ul><li>Analyze functional requirements to translate into application design using established design methodologies and guidelines.</li><li>Develop the software conforming to design, program guidelines and programming best practices.</li><li>Develop unit test package, execute test &amp; document test results to ensure the quality of the program</li><li>Investigate all reported problems/errors and implement fixes for the Issues/problems so that the system can operate correctly and efficiently.</li><li>Assist in the integration testing, system testing, user acceptance testing and implementation activities to fix the reported problem/bugs of the system to ensure the smooth execution of programs in the respective environments</li><li>Prepare and maintain up-to-date system documentation</li><li>Collaborate with other Adnovum employees in cross-functional teams to achieve goals</li><li>Mentor Junior team members</li></ul><p>You will have the chance to be involved with multiple stages of a project, thus enjoying exposure to various aspects of software engineering and foster your career growth. You will also get the great opportunities to learn on the job and expand horizons into the field of consulting in the area system and application security.</p><p><strong><u>Your experience and skills:</u></strong></p><p><em>To master this job, you should have/be</em></p><p>Bachelor’s degree in Computer Science or equivalent</p><p>Minimum 5 years of experience in developing enterprise application using following technologies:</p><ul><li>Java/Java EE</li><li>Microservices development </li><li>API development </li><li>Spring: Spring framework, Spring Boot, Spring Security, Spring Batch, Spring Integration</li><li>JS front-end frameworks: Angular, React.JS</li><li>Docker, Kubernetes, RedHat Openshift</li><li>Public Cloud: Azure</li></ul><p>Experience in agile software development (e.g. TDD, state-of-the-art CI/CD tools and DevOps automation)</p><p>Knowledge of HTML5, CSS3, Bootstrap</p><p>Knowledge of Relational Databases (MySQL, SQL Server)</p><p>Excellent English skills, both spoken and written</p><p>Experience in writing technical documents and providing effort estimations</p><p>Customer facing experience with effective listening and interaction skills</p><p>Experience in mentoring junior project team members</p><p>Proactive mindset that is creative and solution oriented</p><p>Strong team player with effective communication skills</p><p><strong><u>About us</u></strong></p><p>Headquartered in Zurich, Switzerland, Adnovum has been delivering robust and secure software solutions for 30 years. Our belief in constantly challenging ourselves and delivering value has built us a reputation for outstanding software engineering expertise.</p><p>Adnovum Singapore was established as the regional hub for APAC in 2010 and today, we have around 40 employees working on a multitude of projects across the finance, logistics and the public sectors.</p><p>What software engineers can expect at Adnovum:</p><ul><li>Grow and thrive in an engineering-oriented environment</li><li>Mentoring by highly skilled and experienced software engineers/architects</li><li>Well-equipped IT environment with state-of-the-art technology</li><li>Mutually respectful work environment with no micro-management</li><li>Flat hierarchy to facilitate communication between roles</li><li>Healthy work-life balance</li></ul>","['Flexible working hours', 'Hybrid workplace', 'Swiss culture & Work-life balance policy']",Senior Executive,,5 years,"Diploma, Advanced/Higher/Graduate Diploma",,Full-Time,,[],https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9365346&advertisement_id=9363717&s=20&AdvertisementSource=1,70170,Central,sg
8,software engineer,/en/job/software-engineer-9382630,9382630,Software Engineer,False,False,3500,7000,SGD,FA Systems Automation (S) Pte Ltd,24-Mar-22,False,,,199300474E,,,51 - 200 Employees,,Close to Changi Business Park,"<div style=""text-align:justify"">Established in 1988, FA Systems Automation is a progressive and well-established organization providing advanced, high-precision manufacturing automation equipment and solutions to meet our customers’ requirements.</div>



<div style=""text-align:justify"">We provide full turnkey manufacturing systems and solutions, which are customized to meet our customers’ demanding specifications:</div>



<div>
<ul>
	<li style=""text-align:justify"">Conceptualization</li>
	<li style=""text-align:justify"">System Design and Development   – In-house Mechanical and Electrical Design, Software and Vision Development;</li>
	<li style=""text-align:justify"">Precision Machining</li>
	<li style=""text-align:justify"">High-precision Assembly and Integration Quality Assurance; and</li>
	<li style=""text-align:justify"">Testing and commissioning.</li>
</ul>

<div style=""text-align:justify"">Today, FA Systems Automation has a proven track record and has gained the trust and confidence of our customers by consistently and successfully meeting their demands by providing:
<ul>
	<li>Innovative &amp; elegant solutions to challenging problems,</li>
	<li>User-friendly features – simple to use &amp; maintain,</li>
	<li>Quality and Reliability,</li>
	<li>Very Quick Turn-around &amp; On-time delivery,</li>
	<li>Competitive pricing,</li>
	<li>Outstanding after-sales support &amp; service.</li>
</ul>

<div>Our equipment design and system integration concepts and methodologies incorporate cost-effective and leading-edge technologies to achieve ease of user operation and maintenance, reliability and safety.<br />
<strong> </strong></div>

<div>
<div><strong>Mission</strong></div>



<div>Consistently deliver, as per committed Schedules, Automation Equipment &amp; Solutions that are Cost-effective &amp; are of the required Quality in order to successfully satisfy the requirements of our Customers at the Lowest Cost of Ownership with the Highest Yield &amp; Uptime, thereby creating value for our Customers, Sharefolders, &amp; Employees.<br />
<br />
 </div>
</div>
</div>
</div>","<p>Job Description</p><ul><li>To do conceptual and detailed software design, testing and debugging for machine vision, image processing, motion control and I/O interface.</li><li>To exercise cost control when designing software and machines.</li><li>To lead a small team of engineers of software design;</li><li>To prepare machine documentation, specifications, manual, bill of materials.</li><li>To liaise and coordinate with R&amp;D, Manufacturing and Purchasing departments, customers, suppliers about technical, specifications, quality, delivery, after-sales matters.</li></ul><p>Job Requirements</p><ul><li>Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Industrial), Engineering (Mechatronic/Electromechanical), Computer Science/Information Technology or equivalent.</li><li>Required Skill(s): C#, Visual C++, Windows OS, CIM</li></ul>","['Attractive remuneration package, 5 working days per week', 'Provide medical benefits, insurance coverage and transportation', 'Provide opportunities for career advancement']",Senior Executive,,5 years,"Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,Full-Time,,"['Medical', 'Regular hours, Mondays - Fridays', 'Insurance', '-']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9382630&advertisement_id=9381001&s=20&AdvertisementSource=1,701499,East - Others,sg
9,software engineer,/en/job/cdn-software-development-engineer-9363534,9363534,CDN Software Development Engineer,False,False,,,SGD,GREYPANEL PTE. LTD.,24-Mar-22,False,,,201627171K,,,1 - 50 Employees,,,"<p>Greypanel is committed to providing customers with more comprehensive network acceleration and defense services. Whether it is static website acceleration, game website acceleration or DD or CC attack defense, you can find a solution that suits you in Greypanel.</p>","<ul><li>Responsible for the development and implementation of the company's CDN products.</li><li>Responsible for the daily optimization and maintenance of the company's CDN product program module.</li><li>Responsible for the technical research and development of CDN services, including feature design, testing, publish, and maintenance.</li><li>Responsible for the technical pre-research of some new edge computing scenarios.</li></ul><p><strong>Responsibilities:</strong></p><ul><li>3 years or more of corresponding work experience is required</li><li>Familiar with at least one programming language in C/C++/JAVA/GO.</li><li>Experience in distributed, virtualization, parallel computing, big data, networking, storage, protocol server back-end development, etc.</li><li>Have a comprehensive basic knowledge of computers: data structures, operating systems, networks, databases and network security.</li><li>Have good analysis and problem-solving ability, be able to independently undertake challenging tasks, and have the ability to systematically control and promote.</li><li>Strong sense of responsibility, good external communication and teamwork skills, active and eager to learn.</li></ul>",[],Junior Executive,,3 years,Not Specified,,Full-Time,,"['Miscellaneous allowance', 'Medical', 'Regular hours, Mondays - Fridays', 'Casual (e.g. T-shirts)']",https://myjobstreet.jobstreet.com.sg/application/online-apply.php?job_id=9363534&advertisement_id=9361905&s=20&AdvertisementSource=1,70000,Singapore,sg
